State_variable_name_and_unit,Time_instance_1
Time__days,0
Product_stream_mass_flow_in_time__kg_per_s,17.5358158793923
Distillate_bottom_stream_mass_flow_in_time__kg_per_s,9.88718643573202
KO2_gas_stream_mass_flow_in_time__kg_per_s,0.273031151382293
KO2_gas_stream_molar_fraction_of_CO2_in_time__unitless,0.943566039332798
KO2_gas_stream_molar_fraction_of_CO_in_time__unitless,0.0117299837934002
KO2_gas_stream_molar_fraction_of_H2_in_time__unitless,0.0447039768738015
KO2_gas_stream_molar_fraction_of_H2O_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_CH3OH_in_time__unitless,0
KO2_gas_stream_molar_fraction_of_N2_in_time__unitless,0
Purge_stream_mass_flow_in_time__kg_per_s,0
Purge_stream_molar_fraction_of_CO2_in_time__unitless,0.0450542913891208
Purge_stream_molar_fraction_of_CO_in_time__unitless,0.029004183663312
Purge_stream_molar_fraction_of_H2_in_time__unitless,0.922150195723234
Purge_stream_molar_fraction_of_H2O_in_time__unitless,0.000793669709794267
Purge_stream_molar_fraction_of_CH3OH_in_time__unitless,0.00299765951453951
Purge_stream_molar_fraction_of_N2_in_time__unitless,0
Net_heat_consumed_per_kg_of_methanol_produced__kJ_per_kg,-5756.81271488815
Net_electricity_consumed_per_kg_of_methanol_produced__kJ_per_kg,1069.5884851115
Molar_methanol_yield_based_on_CO2__unitless,0.985252602285921
Molar_methanol_yield_based_on_H2__unitless,0.984654258386659
Molar_conversion_of_CO2__unitless,0.98894203210848
Molar_conversion_of_H2__unitless,0.99982547240625
Molar_methanol_selectivity_based_on_CO2__unitless,0.984826137722737
Molar_methanol_selectivity_based_on_H2__unitless,0.996269316397956
Average_temperature_inside_reactor_tubes__K,521.523198658525
Maximum_temperature_inside_reactor_tubes__K,526.166252866384
Average_kinetic_reaction_rate_of_CO2_hydrogenation_in_time__mol_per_s_kg_cat,0.0129743303350728
Average_kinetic_reaction_rate_of_RWGS_in_time__mol_per_s_kg_cat,0.000255706778672901
Average_reaction_effectiveness_rate_of_CO2_hydrogenation_in_time__unitless,0.314767337048078
Average_reaction_effectiveness_rate_of_RWGS_in_time__unitless,0.375785371840068
Average_catalyst_activity_in_time__unitless,1
